0,,,1,,,2,,, 
0.045529,-0.00025, ,-0.002848,0.002347, ,454.5211809,-295.8517161, , 
0.045837,-0.000518, ,-0.003281,0.003046, ,453.1226412,-295.0920476, , 
0.045965,-0.000779, ,-0.00313,0.003747, ,451.8362579,-294.1549547, , 
0.04579,-0.00104, ,-0.001758,0.004334, ,450.7299399,-293.0109016, , 
0.045273,-0.001308, ,0.001424,0.004707, ,449.8821088,-291.6640864, , 
0.044414,-0.001588, ,0.00679,0.004798, ,449.3580474,-290.1613858, , 
0.043192,-0.001882, ,0.014483,0.004576, ,449.1861412,-288.5792114, , 
0.041532,-0.002185, ,0.024521,0.004034, ,449.3484453,-286.995993, , 
0.039326,-0.002489, ,0.036782,0.003187, ,449.7900277,-285.4669395, , 
0.036485,-0.00278, ,0.050684,0.00206, ,450.4399413,-284.0141381, , 
0.032992,-0.003045, ,0.064656,0.000689, ,451.2330769,-282.6343124, , 
0.028918,-0.003272, ,0.076005,-0.000874, ,452.1259611,-281.3168466, , 
0.02441,-0.00345, ,0.081786,-0.002552, ,453.1038652,-280.0611863, , 
0.019652,-0.00357, ,0.080242,-0.004234, ,454.1771128,-278.8859849, , 
0.014826,-0.003626, ,0.071527,-0.005787, ,455.3653434,-277.8272374, , 
0.01009,-0.003617, ,0.05716,-0.007083, ,456.6758873,-276.9243441, , 
0.00556,-0.003542, ,0.039019,-0.008034, ,458.0909788,-276.1961026, , 
0.001308,-0.003404, ,0.018695,-0.008596, ,459.5738121,-275.6179678, , 
-0.002628,-0.003211, ,-0.002638,-0.008754, ,461.0845928,-275.1173053, , 
-0.006227,-0.002974, ,-0.02406,-0.0085, ,462.5872808,-274.5929982, , 
-0.00946,-0.002708, ,-0.044636,-0.007835, ,464.0424307,-273.9485166, , 
-0.01227,-0.002429, ,-0.063078,-0.006776, ,465.40143,-273.120317, , 
-0.014582,-0.002153, ,-0.077454,-0.005374, ,466.613716,-272.0891999, , 
-0.016335,-0.001895, ,-0.085378,-0.00372, ,467.6409321,-270.8735823, , 
-0.017521,-0.001666, ,-0.085141,-0.001935, ,468.4660224,-269.5126394, , 
-0.018204,-0.001472, ,-0.077225,-0.000143, ,469.0922669,-268.0495018, , 
-0.018521,-0.00132, ,-0.064421,0.00155, ,469.5353856,-266.5209097, , 
-0.018643,-0.001212, ,-0.050069,0.003059, ,469.8149272,-264.9541325, , 
-0.018743,-0.00115, ,-0.036403,0.00432, ,469.9496894,-263.368333, , 
-0.018967,-0.001137, ,-0.024344,0.005284, ,469.9584332,-261.7768432, , 
-0.019423,-0.001174, ,-0.014081,0.00592, ,469.8637316,-260.1881458, , 
-0.020182,-0.001262, ,-0.005548,0.006209, ,469.6949128,-258.6056018, , 
-0.021275,-0.001395, ,0.001394,0.006153, ,469.4866491,-257.0277652, , 
-0.022688,-0.001561, ,0.006915,0.005788, ,469.2724941,-255.4507242, , 
-0.024372,-0.001737, ,0.01121,0.005185, ,469.0759326,-253.8713964, , 
-0.026261,-0.001891, ,0.014482,0.004449, ,468.9035633,-252.2892403, , 
-0.028315,-0.00198, ,0.016916,0.003685, ,468.7446997,-250.7056681, , 
-0.030551,-0.001963, ,0.01867,0.002969, ,468.5785036,-249.1228532, , 
-0.033047,-0.001804, ,0.019882,0.002332, ,468.3851449,-247.5431295, , 
-0.035901,-0.001479, ,0.02069,0.001775, ,468.154607,-245.9683988, , 
-0.039169,-0.000976, ,0.021241,0.00129, ,467.8880943,-244.3993537, , 
-0.04279,-0.000291, ,0.021678,0.000865, ,467.5919583,-242.8356296, , 
-0.046533,0.000574, ,0.022106,0.000493, ,467.2691453,-241.2771936, , 
-0.049947,0.001608, ,0.022565,0.000177, ,466.9146318,-239.7256624, , 
-0.052351,0.00279, ,0.02301,-0.000074, ,466.5180483,-238.1843518, , 
-0.05289,0.004073, ,0.023329,-0.000243, ,466.071048,-236.6569008, , 
-0.050749,0.005383, ,0.023367,-0.000312, ,465.573379,-235.1451955, , 
-0.045457,0.006615, ,0.022968,-0.000258, ,465.0331496,-233.6481703, , 
-0.03707,0.007653, ,0.022003,-0.000064, ,464.4618478,-232.1627266, , 
-0.026023,0.008393, ,0.02042,0.000288, ,463.8685541,-230.6859295, , 
-0.012791,0.008774, ,0.018294,0.000804, ,463.2575184,-229.2163849, , 
0.002332,0.008776, ,0.015878,0.001468, ,462.6299496,-227.7538247, , 
0.019175,0.008412, ,0.013631,0.002234, ,461.9877375,-226.2976347, , 
