1,,2,,3,,4,
233.9274236,-281.5150641,385.5531702,-370.7553384,471.7008676,-298.0333942,283.4096626,-188.0112766
234.2093605,-283.1017702,387.0238388,-371.1379551,470.1101245,-298.0830571,283.0213007,-189.5573555
234.6307707,-284.6572691,388.488487,-371.5430182,468.5194741,-298.1355476,282.6906658,-191.1165464
235.1764783,-286.1736429,389.948482,-371.9645472,466.9282657,-298.1669192,282.2914702,-192.6595745
235.8266948,-287.6482283,391.4067394,-372.3920445,465.3367647,-298.1593017,281.7796902,-194.1691115
236.567594,-289.0793979,392.8659784,-372.8161784,463.7465233,-298.0955586,281.1811315,-195.6464056
237.3960088,-290.4617502,394.3277837,-373.2313818,462.160985,-297.9577758,280.5484988,-197.1093891
238.3165362,-291.7845421,395.7927081,-373.6354424,460.5857218,-297.7309437,279.9230523,-198.5754575
239.3339747,-293.0343239,397.2606002,-374.0285844,459.0273483,-297.4078394,279.318694,-200.050357
240.4464947,-294.2002752,398.7305412,-374.413997,457.4919646,-296.9888612,278.7282983,-201.5308969
241.6436768,-295.2791264,400.2005609,-374.7991129,455.9859869,-296.4740847,278.140056,-203.0122922
242.9097719,-296.2762135,401.6677126,-375.1950097,454.5211809,-295.8517161,277.5486437,-204.4924263
244.2295247,-297.2011091,403.1289172,-375.6123136,453.1226412,-295.0920476,276.954985,-205.9716601
245.5934064,-298.0596002,404.58254,-376.0553108,451.8362579,-294.1549547,276.3598654,-207.4503073
246.9999412,-298.8462682,406.0298416,-376.5185533,450.7299399,-293.0109016,275.7599683,-208.9270225
248.4535634,-299.5420779,407.4746715,-376.9894419,449.8821088,-291.6640864,275.1497824,-210.3995152
249.9581534,-300.1194236,408.9207583,-377.4564478,449.3580474,-290.1613858,274.5261384,-211.8663594
251.510075,-300.5537432,410.3684769,-377.9183865,449.1861412,-288.5792114,273.8902051,-213.3279181
253.0966409,-300.8364881,411.8137582,-378.3879005,449.3484453,-286.995993,273.245383,-214.7855767
254.701706,-300.9812604,413.2501724,-378.883835,449.7900277,-285.4669395,272.5939618,-216.2402981
256.3128746,-301.017768,414.6746115,-379.4131771,450.4399413,-284.0141381,271.9360627,-217.6921012
257.9239275,-300.9767398,416.0960865,-379.9505832,451.2330769,-282.6343124,271.2710177,-219.1406452
259.5323353,-300.8757608,417.5394977,-380.4260989,452.1259611,-281.3168466,270.5975534,-220.5852939
261.1358844,-300.7151631,419.0287095,-380.7287123,453.1038652,-280.0611863,269.9089624,-222.0227974
262.7310601,-300.485923,420.5482127,-380.7321279,454.1771128,-278.8859849,269.183904,-223.4422767
264.3139745,-300.183391,422.0173693,-380.3445347,455.3653434,-277.8272374,268.3798161,-224.8185514
265.8833845,-299.8171563,423.3185195,-379.5598589,456.6758873,-276.9243441,267.4390269,-226.1052223
267.4429228,-299.4109284,424.3739646,-378.4665755,458.0909788,-276.1961026,266.3119694,-227.2322253
268.9995985,-298.9938884,425.2123947,-377.1989152,459.5738121,-275.6179678,264.9869643,-228.1180042
270.5598097,-298.5902841,425.9654195,-375.8788278,461.0845928,-275.1173053,263.5035003,-228.7007663
272.1268257,-298.2139549,426.7958171,-374.60625,462.5872808,-274.5929982,261.9331306,-228.9736209
273.7013252,-297.870272,427.8161604,-373.4802695,464.0424307,-273.9485166,260.3393336,-228.9980448
275.2832692,-297.5626669,429.0518111,-372.5958481,465.40143,-273.120317,258.74929,-228.8859625
276.8729563,-297.2979791,430.4560994,-372.0152072,466.613716,-272.0891999,257.1599736,-228.7649104
278.4705755,-297.086397,431.9521153,-371.7483303,467.6409321,-270.8735823,255.5662141,-228.7458044
280.0751491,-296.9364166,433.4717384,-371.7581612,468.4660224,-269.5126394,253.9799956,-228.9018381
281.6843625,-296.8492729,434.9747213,-371.9826407,469.0922669,-268.0495018,252.4270269,-229.260732
283.2956278,-296.8177455,436.4471012,-372.3586792,469.5353856,-266.5209097,250.9313503,-229.8116879
284.9071482,-296.8307894,437.8892699,-372.8376654,469.8149272,-264.9541325,249.5054871,-230.5241054
286.5179451,-296.8807899,439.305288,-373.3891701,469.9496894,-263.368333,248.1541689,-231.3694196
