0,,1,,2,,3,,4,
297.6649986,-298.4835357,449.0925931,-377.5285792,398.2172047,-293.8661551,320.937759,-307.3355331,468.9035633,-252.2892403
299.2238338,-298.8924425,450.5539801,-377.9452668,396.6961925,-294.1911086,322.2939497,-306.5473273,468.7446997,-250.7056681
300.7644976,-299.3652162,452.0248902,-378.326967,395.1416814,-294.2377244,323.6508273,-305.7603039,468.5785036,-249.1228532
302.2776505,-299.9197564,453.5020599,-378.6836762,393.6310099,-293.8691203,324.9951865,-304.9520927,468.3851449,-247.5431295
303.7529703,-300.5682767,454.9853359,-379.0140781,392.3305851,-293.0167171,326.3162222,-304.1063133,468.154607,-245.9683988
305.1817762,-301.3137098,456.476278,-379.307945,391.4329013,-291.7470591,327.6123254,-303.2227904,467.8880943,-244.3993537
306.5589285,-302.1507387,457.9760439,-379.552817,391.0467972,-290.2406228,328.8999379,-302.3268767,467.5919583,-242.8356296
307.8826867,-303.0698884,459.4840563,-379.7403338,391.1399667,-288.6880943,330.21658,-301.4741503,467.2691453,-241.2771936
309.1522826,-304.0625122,460.9982452,-379.8687953,391.5787904,-287.1959345,331.6076419,-300.7492189,466.9146318,-239.7256624
310.3638604,-305.1251796,462.5161451,-379.9412716,392.2123575,-285.7755998,333.0967187,-300.256247,466.5180483,-238.1843518
311.5059769,-306.2621759,464.0356426,-379.9612677,392.9284725,-284.3950964,334.657045,-300.0961949,466.071048,-236.6569008
312.5564847,-307.4843109,465.5549312,-379.9291356,393.6647439,-283.0252279,336.2074757,-300.3336299,465.573379,-235.1451955
313.4832143,-308.8027598,467.0720324,-379.8415562,394.3949636,-281.6521205,337.6409081,-300.9704677,465.0331496,-233.6481703
314.2506068,-310.2198664,468.5844933,-379.6941641,395.1101145,-280.2711046,338.8696252,-301.9455063,464.4618478,-232.1627266
314.8320628,-311.7228575,470.089687,-379.4852216,395.8055205,-278.880043,339.8603886,-303.161647,463.8685541,-230.6859295
315.2235562,-313.2861394,471.5855629,-379.217592,396.4779494,-277.4777314,340.6403341,-304.5226606,463.2575184,-229.2163849
315.4520423,-314.8814375,473.0711309,-378.8976547,397.1287295,-276.0652402,341.2752381,-305.9570601,462.6299496,-227.7538247
315.5758359,-316.4882731,474.5461764,-378.5322629,397.7654547,-274.646357,341.8376568,-307.4213704,461.9877375,-226.2976347
315.6797453,-318.0965368,476.0106394,-378.1265348,398.3970475,-273.2251856,342.3829264,-308.8921449,461.3363113,-224.8455424
315.8679948,-319.6971248,477.4646554,-377.6848328,399.0226962,-271.8013819,342.9404408,-310.3583253,460.6854227,-223.3932083
316.2519744,-321.2622891,478.909789,-377.2148784,399.6202224,-270.3655267,343.5173417,-311.8169895,460.0476977,-221.9350473
316.9257999,-322.7261439,480.3506983,-376.7321122,400.140141,-268.8997726,344.1075709,-313.2703116,459.4339931,-220.4666208
317.9311241,-323.9855142,481.7951668,-376.2601071,400.5090541,-267.3889554,344.7003186,-314.7226075,458.8437988,-218.9885881
319.2324067,-324.9359726,483.2508303,-375.8238944,400.643845,-265.8396475,345.2852532,-316.1780674,458.2515144,-217.511355
320.7312181,-325.5281055,484.7200757,-375.4359011,400.4753629,-264.2936698,345.8548655,-317.6395917,457.5963682,-216.0608554
322.3195842,-325.8011953,486.1970682,-375.0783758,399.9733617,-262.8217898,346.4053684,-319.1084206,456.7900095,-214.6886938
323.9299838,-325.8649329,487.6666188,-374.6911724,399.1587336,-261.4970621,346.9368711,-320.5842316,455.7510711,-213.4831773
325.5414349,-325.8458857,489.0965662,-374.1766853,398.0943385,-260.3631696,347.4522518,-322.0657501,454.4541861,-212.5609607
327.1529703,-325.8396212,490.4201728,-373.4302453,396.8602404,-259.4167306,347.9538676,-323.5519854,452.956362,-212.0234127
328.7636776,-325.8923462,491.5281652,-372.3904715,395.5295171,-258.6117902,348.4386679,-325.0437926,451.3696089,-211.9008697
330.3709734,-326.009717,492.2994974,-371.08139,394.1571236,-257.8801966,348.8944631,-326.5447178,449.7949978,-212.1328613
331.9739058,-326.1763729,492.6667401,-369.60694,392.7813004,-257.1551175,349.30117,-328.0596746,448.274114,-212.6020351
333.5738022,-326.3700201,492.667684,-368.087221,391.428247,-256.388407,349.6393756,-329.5913673,446.795236,-213.190133
335.1734979,-326.5653423,492.4374543,-366.5849247,390.1127524,-255.5588974,349.9043544,-331.1374179,445.3325189,-213.8173034
336.776137,-326.7347735,492.1495565,-365.0928162,388.8350275,-254.6722855,350.118069,-332.6914128,443.8739454,-214.4541033
338.3832131,-326.8548974,491.9513287,-363.5862935,387.5797177,-253.7541987,350.3288171,-334.2458102,442.4250982,-215.1127391
339.993514,-326.9187909,491.9218666,-362.0669962,386.3231545,-252.8378605,350.5930378,-335.7919688,441.0027048,-215.826682
341.6048864,-326.9450374,492.0617553,-360.5537827,385.0486221,-251.9467177,350.9456945,-337.3203764,439.6278092,-216.6282578
343.2162136,-326.9733256,492.3169951,-359.0557086,383.7618961,-251.0731864,351.376462,-338.8287022,438.3168251,-217.5305538
344.8261202,-327.0461897,492.6205502,-357.5667147,382.5009812,-250.162633,351.8282996,-340.3308707,437.0664557,-218.5151798
346.4314474,-327.1878206,492.9259796,-356.0781035,381.3445703,-249.1226286,352.2219175,-341.8492367,435.836383,-219.5252212
348.0298024,-327.3938608,493.2191548,-354.5870199,380.419926,-247.8722795,352.4973286,-343.3933781,434.5483625,-220.4603125
349.6227572,-327.6381456,493.5094204,-353.0953715,379.8848854,-246.412275,352.6564814,-344.9539193,433.1254539,-221.1731982
351.2144863,-327.8902363,493.8118288,-351.60614,379.8616567,-244.857535,352.7836156,-346.5175253,431.5654015,-221.487012
352.8079015,-328.1314571,494.1341465,-350.1210875,380.3595879,-243.3843816,353.0252041,-348.0674474,429.9905395,-221.2596071
354.4031518,-328.3602493,494.4750118,-348.6401818,381.2620937,-242.1176991,353.5325154,-349.551586,428.6093439,-220.4694812
355.9988639,-328.5857785,494.829443,-347.1624648,382.3963203,-241.0533055,354.3911851,-350.8640374,427.5966447,-219.2418583
357.5938985,-328.8160484,495.1933011,-345.6870414,383.6139329,-240.0857937,355.5796863,-351.8874876,426.9858071,-217.7720237
359.1885442,-329.0490193,495.5617283,-344.2127513,384.8198741,-239.1039209,356.9918126,-352.5704438,426.6634365,-216.2132772
360.7845978,-329.2721298,495.9240056,-342.7369344,385.9701659,-238.057263,358.5088735,-352.9699248,426.4570412,-214.6352244
362.3838799,-329.4707222,496.2620024,-341.2553727,387.0668499,-236.9545308,360.0570097,-353.2229887,426.2300513,-213.0600403
363.9862746,-329.6424142,496.5570286,-339.7646686,388.1383487,-235.8273596,361.6052481,-353.474459,425.9230749,-211.4984004
